MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001445657;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001146498;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001787922;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001759171;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001064337;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001701911;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001861924;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001411072;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000128563;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000315080;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000391561;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001456429;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000750141;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001634604;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000288999;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000389947;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001356759;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000002112291;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000410465;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;1757072733.24977;1
00000000000001603404;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;958859790.99776;1
00000000000000129161;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;957250363.15300;1
00000000000001778416;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;745277304.22066;1
00000000000001007993;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;633055542.26209;1
00000000000001323505;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;606962050.52645;1
00000000000001387151;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;580821760.73710;1
00000000000001924264;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;565060582.57995;1
00000000000001098839;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;521453963.78522;1
00000000000001521706;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;481616585.22951;1
00000000000001884711;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;477170784.63210;1
00000000000000811686;05_2025-0_18-1_1;t_05_2025-0_18-1_1_4001;2025-06-02;0.00000;461302671.35920;1
