CONTEST_CODE;GROUP_CODE;GROUP_VALUE;GET_CALC_METHOD;GET_CALC_CRITERION;ADD_CALC_CRITERION;ADD_CALC_CRITERION_2;BASE_CALC_CODE
01_2025-1_04-1_1;TB;*;2;0;10;0;TB
01_2025-1_05-1_1;BANK;*;2;5;0;0;BANK
01_2025-1_05-1_1;GOSB;*;1;0;0;0.10000;GOSB
01_2025-1_05-1_1;TB;*;2;0;3;0;TB
01_2025-1_05-1_2t;BANK;*;2;5;0;0;BANK
01_2025-1_05-1_2t;GOSB;*;1;0;0;0.10000;GOSB
01_2025-1_05-1_2t;TB;*;2;0;1;0;TB
01_2025-1_07-5_1;BANK;*;3;;;;
01_2025-1_07-5_10;BANK;*;3;;;;
01_2025-1_07-5_2;BANK;*;3;;;;
01_2025-1_07-5_3;BANK;*;3;;;;
01_2025-1_07-5_5;BANK;*;2;10;0;0;BANK
01_2025-1_07-5_6;BANK;*;2;10;0;0;BANK
01_2025-1_07-5_7;BANK;*;2;5;0;0;BANK
01_2025-1_07-5_8;BANK;*;3;;;;
01_2025-1_07-5_9;BANK;*;3;;;;
01_2025-1_08-1_1;BANK;*;2;5;5;0;BANK
01_2025-1_08-1_1;TB;*;1;0;0;0.10000;TB
01_2025-1_09-1_1;BANK;*;2;5;10;0;BANK
01_2025-1_09-1_1;GOSB;*;2;0;0;1;GOSB
01_2025-1_14-1_1;BANK;*;2;5;0;0;BANK
01_2025-1_14-1_1;GOSB;*;1;0.00000;0.00000;0.10000;GOSB
01_2025-1_14-1_1;TB;*;2;0;3;0;TB
01_2025-1_15-1_2;BANK;*;2;1;1;1;BANK
01_2025-1_16-1_1;BANK;*;2;5;5;5;BANK
01_2025-1_17-2_1;BANK;*;3;;;;
01_2025-1_17-2_2;BANK;*;3;;;;
01_2025-1_17-2_3;BANK;*;3;;;;
01_2025-1_17-2_4;BANK;*;3;;;;
01_2025-2_00-1;BANK;*;3;;;;
01_2025-2_01-7_1;BANK;*;2;1;1;1;BANK
01_2025-2_05-1_1;BANK;*;2;5;0;0;BANK
01_2025-2_05-1_1;GOSB;*;1;0;0;0.10000;GOSB
01_2025-2_05-1_1;TB;*;2;0;3;0;TB
01_2025-2_07-2_1;BANK;*;2;3;3;0;BANK
01_2025-2_07-2_1;TB;*;2;0;0;1;TB
01_2025-2_10-1_6;BANK;*;2;1;1;1;BANK
01_2025-2_08-1_1;BANK;*;2;5;5;0;BANK
01_2025-2_08-1_1;TB;*;1;0;0;0.10000;TB
